Nombre de la Universidad;Rama de estudios;Nombre de la titulación;Nota de corte ordinaria del grupo 1
Universidad Complutense de Madrid;Dobles Grados;Farmacia - Nutrición Humana y Dietética;12,328
Universidad Complutense de Madrid;Dobles Grados;Gestión y Administración Pública - Economía;8,375
Universidad Complutense de Madrid;Dobles Grados;Historia - Filología Clásica;8,810
Universidad Complutense de Madrid;Dobles Grados;Ingeniería Informática - Matemáticas;13,465
Universidad Complutense de Madrid;Dobles Grados;Maestro de Ed. Infantil - Maestro de Ed. Primaria;11,199
Universidad Complutense de Madrid;Dobles Grados;Maestro de Educación Infantil - Pedagogía;10,275
Universidad Complutense de Madrid;Dobles Grados;Maestro de Educación Primaria - Pedagogía;11,462
Universidad Complutense de Madrid;Dobles Grados;Matemáticas - Física;13,698
Universidad Complutense de Madrid;Dobles Grados;Psicología - Logopedia;10,525
Universidad Complutense de Madrid;Dobles Grados;Química - Bioquímica;12,617
Universidad Complutense de Madrid;Dobles Grados;Sociología - Relaciones Internacionales;10,514
Universidad Complutense de Madrid;Dobles Grados;Turismo - Comercio;7,211
Universidad Complutense de Madrid;Grados Interuniversitarios;Bachelor of Arts in European Studies;5,000
Universidad Complutense de Madrid;Grados Interuniversitarios;Titulación Internacional en ADE (UCM-HWR Berlín);11,948
Universidad Complutense de Madrid;Grados Interuniversitarios;Titulación Internacional en Derecho (UCM-Sorbona);11,449
Universidad Complutense de Madrid;Grados Interuniversitarios;Titulación Internacional en Economía (UCM-Sorbona);12,062
Universidad Complutense de Madrid;Ingeniería y Arquitectura;Desarrollo de Videojuegos;9,689
Universidad Complutense de Madrid;Ingeniería y Arquitectura;Ingeniería Electrónica de Comunicaciones;8,653
Universidad Complutense de Madrid;Ingeniería y Arquitectura;Ingeniería Geológica;5,361
Universidad Complutense de Madrid;Ingeniería y Arquitectura;Ingeniería Informática;10,761
Universidad Complutense de Madrid;Ingeniería y Arquitectura;Ingeniería Matemática;12,625
Universidad Complutense de Madrid;Ingeniería y Arquitectura;Ingeniería Química;11,033
Universidad Complutense de Madrid;Ingeniería y Arquitectura;Ingeniería de Computadores;9,480
Universidad Complutense de Madrid;Ingeniería y Arquitectura;Ingeniería de Datos e Inteligencia Artificial;12,775
Universidad Complutense de Madrid;Ingeniería y Arquitectura;Ingeniería de Materiales;9,203
Universidad Complutense de Madrid;Ingeniería y Arquitectura;Ingeniería del Software;10,150
Universidad Politécnica de Madrid;Centros adscritos;Diseño de Moda;5,000
Universidad Politécnica de Madrid;Ciencias;Ciencias Agrarias y Bioeconomía;6,851
Universidad Politécnica de Madrid;Ciencias;Matemáticas;12,058
Universidad Politécnica de Madrid;Ciencias Sociales y Jurídicas;Ciencias de la Actividad Física y del Deporte (INEF);8,925
Universidad Politécnica de Madrid;Dobles Grados;Edificación - Administración y Dirección de Empresas;8,115
Universidad Politécnica de Madrid;Dobles Grados;Ingeniería Civil y Territorial - Administración y Dirección de Empresas;10,741
Universidad Politécnica de Madrid;Dobles Grados;Ingeniería Electrónica de Comunicaciones - Ingeniería Telemática;8,214
Universidad Politécnica de Madrid;Dobles Grados;Ingeniería Eléctrica - Ingeniería Electrónica Industrial y Automática;11,361
Universidad Politécnica de Madrid;Dobles Grados;Ingeniería Geomática e Ingeniería de las Tecnologías de la Información Geoespacial (Campus Sur);7,177
Universidad Politécnica de Madrid;Dobles Grados;Ingeniería Informática - Administración y Dirección de Empresas;11,589
Universidad Politécnica de Madrid;Dobles Grados;Ingeniería en Diseño Industrial y Desarrollo de Producto - Ingeniería Mecánica;12,878
Universidad Politécnica de Madrid;Dobles Grados;Ingeniería y Sistemas de Datos e Ingeniería Telemática (Campus Sur);8,828
Universidad Politécnica de Madrid;Grados conjuntos;Diseño de Moda (UPM) y Comercio (UCM);5,000
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Arquitecto/a (PARS);13,089
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Arquitectura Naval / Ingeniería Marítima;10,467
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Biotecnología;12,728
